콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (KRW),노출수,노출 클릭률 (%)
oTE08tVGL8s,마라짜파게티 먹방입니다!!,"Feb 2, 2025",590,6199,434.3977,5,12214.114,115713,4.3
qNvBojUcwxM,하이라이스 만들어먹기,"Mar 19, 2025",509,6144,336.7431,3,11178.069,149645,3.21
V66VPHIg2PA,야외 먹방 일기 회전초밥,"May 6, 2018",332,6122,264.8511,7,8469.753,91560,4.89
E4EZjw66OT4,짜파게티 흔한 실수,"Mar 19, 2023",46,6120,33.0291,0,693.63,12758,2.01
rzR9Fz3vt48,잘 모르겠다 내슈빌치킨 먹방,"Jan 9, 2025",818,6074,536.2461,3,12845.742,103473,4.51
zu1XyTWyPec,이 남자의 채식방법,"Jan 28, 2023",46,6032,36.6518,2,945.893,17980,3.51
arVP6I7eHkc,소화제,"Jul 22, 2024",26,6006,25.8633,1,831.58,28281,8.47
vu5cMJdth2I,엄마가 적게 먹으라고 함 하하핫치킨 먹방,"Nov 8, 2023",839,5985,583.1341,3,12666.079,71172,6.14
i1W_xJVHzbE,고전명작 쇼킹핫치킨 먹방입니다!!,"Dec 1, 2022",744,5960,394.3405,7,11713.031,66892,7.29
JL6_SSFlz-I,재능의 영역,"Mar 13, 2024",29,5959,27.1017,1,923.128,42203,7.43
GC-tICOgeuU,룸서비스 특,"Jul 8, 2024",31,5898,29.0563,0,859.256,28042,8.68
3Bp55jFmmdo,위장경련맛 신길동짬뽕 5단계 먹방,"Sep 8, 2021",699,5871,449.7143,5,10990.136,64749,7.77
R0jqIKXRMZs,10키로 차이,"Jul 27, 2024",39,5857,32.1055,0,875.029,39835,5.87
g5sCEnc_Ulk,건강 참치죽,"Dec 13, 2023",49,5848,42.6284,1,940.395,34517,4.45
Yhb-40sdcl8,중화음식 짜장탕수육 먹방입니다!!,"Aug 18, 2023",730,5821,454.9103,3,11867.105,69554,6.97
q1wqlk6FTxk,롱쓰부대찌개 세끼,"Aug 9, 2024",60,5812,40.6235,3,745.484,34537,4.46
B8eifIBzryY,매운음식을 먹는 건 운동이다 디진다돈까스 먹방,"May 9, 2022",819,5802,551.471,6,12471.859,80785,5.69
